id,title,url,image_url,local_image,prompt,score,scraped_at,scored_at
2326,高千穗神社,https://uniform.wingzero.tw/zh-TW/ai-photo/2326,https://farm66.static.flickr.com/65535/55000037117_dca3bdaea4_b.jpg,2326_高千穗神社.jpg,高千穗神社,6.0,2025-12-26T10:15:48.939658,2025-12-26T13:53:01.490129
2325,高千穗峽,https://uniform.wingzero.tw/zh-TW/ai-photo/2325,https://farm66.static.flickr.com/65535/55001186879_4031903bc8_b.jpg,2325_高千穗峽.jpg,高千穗峽,6.0,2025-12-26T10:15:50.602911,2025-12-26T13:53:24.133302
2324,宮崎神宮,https://uniform.wingzero.tw/zh-TW/ai-photo/2324,https://farm66.static.flickr.com/65535/55000037227_08e5257d90_b.jpg,2324_宮崎神宮.jpg,宮崎神宮,6.0,2025-12-26T10:15:52.968006,2025-12-26T13:53:34.754703
2323,天安河原,https://uniform.wingzero.tw/zh-TW/ai-photo/2323,https://farm66.static.flickr.com/65535/55001228325_e5b4d585f4_b.jpg,2323_天安河原.jpg,天安河原,6.0,2025-12-26T10:15:54.509042,2025-12-26T13:53:38.508120
2322,天安河原,https://uniform.wingzero.tw/zh-TW/ai-photo/2322,https://farm66.static.flickr.com/65535/55001089328_f37213a4fe_b.jpg,2322_天安河原.jpg,天安河原,6.0,2025-12-26T10:15:56.175918,2025-12-26T13:53:41.216604
2321,梵谷名畫投影前的女高中生,https://uniform.wingzero.tw/zh-TW/ai-photo/2321,https://farm66.static.flickr.com/65535/55001046423_22e230bf40_b.jpg,2321_梵谷名畫投影前的女高中生.jpg,"{
  ""reference"": {
    ""source"": ""uploaded image"",
    ""identity_lock"": true,
    ""face_accuracy"": ""exact"",
    ""outfit_lock"": true,
    ""instructions"": ""Use the uploaded image as the sole and authoritative reference. Maintain the exact same person, face, facial proportions, hairstyle, outfit, colors, materials, and accessories as shown in the uploaded image. Do not alter, redesign, replace, or stylize the clothing or appearance in any way.""
  },
  ""subject"": {
    ""person"": ""The person from the uploaded image standing in a confident pose."",
    ""pose"": ""One hand lightly touching her hair, the other holding the same handbag shown in the uploaded image."",
    ""features"": ""Facial features, expression, hairstyle, and makeup exactly match the uploaded image.""
  },
  ""attire"": {
    ""source"": ""uploaded image"",
    ""description"": ""Exact same outfit and accessories as in the uploaded image."",
    ""modifications"": ""none""
  },
  ""background"": {
    ""artwork"": ""Vincent van Gogh's 'The Starry Night' projected onto a large wall and onto the subject."",
    ""visual_elements"": [
      ""Swirling blue and yellow sky"",
      ""Bright crescent moon"",
      ""Glowing stars"",
      ""Dark cypress tree silhouette""
    ]
  },
  ""lighting_and_atmosphere"": {
    ""technique"": ""Immersive light projection"",
    ""effects"": ""The painting’s patterns are projected onto the subject’s skin and clothing without altering their original colors or textures, creating layered blue-and-gold light effects."",
    ""mood"": ""Artistic, ethereal, and modern-chic."",
    ""composition"": ""Full-body shot, centered composition, shallow depth of field to emphasize the subject against the vivid projection.""
  },
  ""technical_details"": {
    ""colors"": [
      ""Cobalt blue"",
      ""Ultramarine"",
      ""Golden yellow"",
      ""Crisp white"",
      ""Deep black""
    ],
    ""style"": ""Ultra-realistic fashion photography combined with post-impressionist art projection.""
  }
}",9.5,2025-12-26T10:15:58.039184,2025-12-26T13:53:49.834714
2320,OL,https://uniform.wingzero.tw/zh-TW/ai-photo/2320,https://farm66.static.flickr.com/65535/55001123374_b50de2e5c8_b.jpg,2320_OL.jpg,,,2025-12-26T10:16:03.871765,
2319,おはようございます 昨日楽しすぎた,https://uniform.wingzero.tw/zh-TW/ai-photo/2319,https://i.imgur.com/gZAavxn.jpeg,2319_おはようございます 昨日楽しすぎた.jpeg,おはようございます 昨日楽しすぎた,3.0,2025-12-26T10:16:06.974871,2025-12-26T13:53:52.259075
2318,JK,https://uniform.wingzero.tw/zh-TW/ai-photo/2318,https://i.imgur.com/T93Bofb.jpeg,2318_JK.jpeg,,,2025-12-26T10:16:12.918277,
2317,操線人偶,https://uniform.wingzero.tw/zh-TW/ai-photo/2317,https://farm66.static.flickr.com/65535/55001078760_14d236ce13_b.jpg,2317_操線人偶.jpg,使用上傳圖片中的角色作為唯一參考人物。在劇院後台場景中，該角色正用手指操縱一個外貌與自己完全相同的複製牽線木偶。人物臉部、髮型與整體外觀需與上傳圖片一致，不得變更。,8.0,2025-12-26T10:16:15.331728,2025-12-26T13:53:55.132289
2316,Ultra-Realistic Fashion Studio Portrait,https://uniform.wingzero.tw/zh-TW/ai-photo/2316,https://farm66.static.flickr.com/65535/55000813998_3672b548ba_b.jpg,2316_Ultra-Realistic Fashion Studio.jpg,"{
  ""image_prompt"": {
    ""reference"": {
      ""source"": ""uploaded image"",
      ""identity_lock"": true,
      ""face_accuracy"": ""exact"",
      ""outfit_lock"": true,
      ""instructions"": ""Use the uploaded image as the sole reference for the character. Maintain the exact same person, face, hairstyle, and outfit as shown in the uploaded image. Do not change clothing style, colors, accessories, or materials. No redesign or substitution is allowed.""
    },
    ""subject"": {
      ""type"": ""person from uploaded image"",
      ""expression"": ""calm and composed"",
      ""gaze"": ""looking slightly to the side"",
      ""posture"": {
        ""position"": ""sitting confidently on a black steel stool"",
        ""view"": ""full-body""
      }
    },
    ""outfit"": {
      ""source"": ""uploaded image"",
      ""description"": ""exact same outfit as in the uploaded image"",
      ""modifications"": ""none""
    },
    ""environment"": {
      ""setting"": ""professional studio"",
      ""background"": ""clean gray-to-white gradient"",
      ""spotlight_effect"": ""circular spotlight behind the subject""
    },
    ""lighting"": {
      ""type"": ""soft spotlight"",
      ""style"": ""cinematic and focused"",
      ""contrast"": ""sharp yet elegant""
    },
    ""style"": {
      ""resolution"": ""high-resolution"",
      ""aesthetic"": ""fashion editorial style"",
      ""realism"": ""ultra-realistic"",
      ""depth_of_field"": ""shallow"",
      ""details"": ""natural skin texture, true-to-life lighting and materials""
    }
  }
}",9.5,2025-12-26T10:16:17.453208,2025-12-26T13:54:08.358417
